,MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities,PARTY SYMBOL,MARGIN,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),MARGIN/Voters,
76,Arjun Singh,Elected,5/23/2019,In office,1,West Bengal,Barrackpur,Bharatiya Janata Party,Male,10th Pass,Information not available,57,9,0,7,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",24,8055691,1100000,Lotus,14857,7,1567,1436431,917,20,15,13,1104699,76.91,0.01344891233,
365,Ramesh Chandra Majhi,Elected,5/23/2019,In office,1,Odisha,Nabarangpur,Biju Janata Dal,Male,Graduate,Information Not Available,41,12,0,12,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,2,1997-98,,,0,8100600,771000,Conch,41634,7,1773,1461004,824,4,4,1,1161787,79.52,0.03583617307,
412,E. T. Mohammed Basheer,Elected,5/23/2019,In office,3,Kerala,Ponnani,Indian Union Muslim League,Male,10th Pass,,73,32,0,37,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,5/12/2019,2.5,1,,,,0,8103274,0,Ladder,193273,7,1148,1356803,1182,18,12,10,1017366,74.98,0.189973913,
505,T.N. Prathapan,Elected,5/23/2019,In office,1,Kerala,Thrissur,Indian National Congress,Male,12th Pass,Information Not Available,59,23,0,83,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,,,,7,8609349,2978120,Hand,93633,7,1258,1337110,1063,13,8,5,1042122,77.94,0.08984840547,
126,Rathva Gitaben Vajesingbhai,Elected,5/23/2019,In office,1,Gujarat,Chhota Udaipur,Bharatiya Janata Party,Female,12th Pass,Information Not Available,47,13,0,97,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,2017-18,"Audit Certificate Pending, Utilisation Certificate Pending.","Audit Certificate Pending, Utilisation Certificate Pending.",0,8634660,0,Lotus,377943,7,2233,1671253,748,10,8,6,1235055,73.9,0.3060130925,
107,Saumitra Khan,Elected,5/23/2019,In office,2,West Bengal,Bishnupur,Bharatiya Janata Party,Male,12th Pass,High School,39,8,0,7,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,,,,6,8656777,1077120,Lotus,78047,7,1870,1627199,870,9,9,7,1421191,87.34,0.05491661571,
79,Harish Chandra Alias Harish Dwivedi,Elected,5/23/2019,In office,2,Uttar Pradesh,Basti,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,46,10,0,63,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,,,,5,8662344,322490,Lotus,30354,5,2316,1845223,797,20,11,9,1055201,57.19,0.02876608343,
361,Abu Taher Khan,Elected,5/23/2019,In office,1,West Bengal,Murshidabad,All India Trinamool Congress,Male,8th Pass,Information Not Available,58,3,0,0,0.74,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,2,-,,,3,8926616,1350000,Flowers and Grass,226417,7,1907,1725187,905,11,11,8,1454192,84.29,0.1556995225,
127,Thirumaa Valavan Thol,Elected,5/23/2019,In office,2,Tamil Nadu,Chidambaram,Viduthalai Chiruthaigal Katchi,Male,Doctorate,"B.L., M.A. (Criminology), B.Sc. (Chemistry); Educated at Presidency College, Chennai and Madras Law College, University of Madras, Chennai",57,27,0,22,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-01-2020,2.5,1,,,,3,9244092,394248,Pot,3219,6,1708,1480222,867,19,13,11,1154257,77.98,0.002788806999,
257,Basanta Kumar Panda,Elected,5/23/2019,In office,1,Odisha,Kalahandi,Bharatiya Janata Party,Male,12th Pass,Information Not Available,58,8,0,16,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,3,9547000,0,Lotus,26814,7,2015,1611056,800,9,7,4,1230929,76.41,0.02178354722,
135,Nisith Pramanik,Elected,5/23/2019,In office,1,West Bengal,Cooch Behar,Bharatiya Janata Party,Male,8th Pass,Information Not Available,Information not available,6,0,0,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,1,,,,11,9629810,0,Lotus,54231,7,2010,1814200,903,11,11,9,1525446,84.08,0.03555091429,
13,Ajay Tamta,Elected,5/23/2019,In office,2,Uttarakhand,Almora,Bharatiya Janata Party,Male,12th Pass,Inter (Science),47,9,0,9,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.8,1.3,9,0.97,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-03-2020,2.5,1,,,,0,9910448,55845,Lotus,232986,14,2154,1337808,621,8,6,4,699807,52.31,0.3329289361,0.1372381081
331,Khagen Murmu,Elected,5/23/2019,In office,1,West Bengal,Maldaha Uttar,Bharatiya Janata Party,Male,Graduate,Information Not Available,60,18,0,96,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",4,10232439,1070914,Lotus,84288,7,1713,1685955,984,16,16,13,1355367,80.39,0.06218832242,
399,Ratansinh Magansing Rathod,Elected,5/23/2019,In office,1,Gujarat,Panchmahal,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,60,5,0,14,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,,,0,10260663,1081611,Lotus,428541,7,2146,1744762,813,18,6,4,1085718,62.23,0.3947074655,
296,Mala Roy,Elected,5/23/2019,In office,1,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Female,Graduate,"B. A. Educated at Calcutta University, West Bengal",62,10,0,31,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",3,10308401,0,Flowers and Grass,155192,7,2031,1728851,851,16,13,11,1207076,69.82,0.1285685408,
247,Kunar Hembram,Elected,5/23/2019,In office,1,West Bengal,Jhargram,Bharatiya Janata Party,Male,Graduate Professional,"B.Tech. (Hons.), Educated at Indian Institute of Technology, Kharagpur, West Bengal",57,4,0,1,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,5/12/2019,2.5,1,1997-98,,,0,10387498,565000,Lotus,11767,7,1994,1641868,823,13,9,7,1407231,85.71,0.008361811245,
283,Vishnu Dutt Sharma,Elected,5/23/2019,In office,1,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Post Graduate,Information not Available,49,12,0,19,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,,,,,0,10589334,2507176,Lotus,492382,8,2279,1842095,808,25,17,15,1258316,68.31,0.3913023438,
339,Choudhury Mohan Jatua,Elected,5/23/2019,In office,3,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,81,0,0,0,0.73,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,1,1997-98,,,0,10667304,0,Flowers and Grass,203974,7,1848,1652096,894,9,9,7,1402019,84.86,0.1454859028,
176,Niranjan Jyoti,Elected,5/23/2019,In office,2,Uttar Pradesh,Fatehpur,Bharatiya Janata Party,Female,12th Pass,Intermediate,53,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,2019-20,,,0,10667372,910148,Lotus,198205,6,2045,1839312,899,17,10,8,1044489,56.79,0.1897626495,
231,Bhanu Pratap Singh Verma,Elected,5/23/2019,In office,5,Uttar Pradesh,Jalaun,Bharatiya Janata Party,Male,Post Graduate,"M.A., L.L.B. 
Edcated at Bundelkhand University, Jhansi (Uttar Pradesh)",62,18,1,30,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,2,2019-20,,,1,10699516,12265,Lotus,158377,5,2326,1933358,831,13,5,3,1130746,58.49,0.14006417,
368,Ramulu Pothuganti,Elected,5/23/2019,In office,1,Telangana,Nagarkurnool,Telangana Rashtra Samithi,Male,Graduate,Information Not Available,67,12,0,0,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-10-2019,2.5,1,,,,0,10778684,0,Car,189748,7,1936,1588111,820,15,11,9,989893,62.33,0.191685364,
251,Chudasama Rajeshbhai Naranbhai,Elected,5/23/2019,In office,2,Gujarat,Junagadh,Bharatiya Janata Party,Male,12th Pass,Information not available,37,2,0,96,0.67,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,2,,,,1,10866041,1481768,Lotus,150211,7,1913,1642864,859,18,12,10,1007252,61.31,0.1491295128,
235,Jayanta Kumar Roy,Elected,5/23/2019,In office,1,West Bengal,Jalpaiguri,Bharatiya Janata Party,Male,Graduate Professional,"M.B.B.S., M.D. (Community Medicine), Educated at North Bengal Medical College, (The West Bengal University of Health Sciences)",52,5,0,31,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,5,2.85,4.95,2,2019-2020,27-02-2020,2.5,2,2018-19,,,0,11625047,1352581,Lotus,184004,7,1868,1735464,929,16,12,10,1501379,86.51,0.1225566629,
73,Suresh Pujari,Elected,5/23/2019,In office,1,Odisha,Bargarh,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,59,9,0,0,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.45,2.45,1,2019-2020,29-11-2019,2.5,1,,,,0,11673429,0,Lotus,63939,7,1895,1596290,842,8,6,4,1251078,78.37,0.05110712522,
85,Chandra Sekhar Sahu,Elected,5/23/2019,In office,2,Odisha,Berhampur,Biju Janata Dal,Male,10th Pass,"B. Sc. (Hons.) LL B., Educated at Khalikot College, Berhampur University, (Orissa)",69,8,0,65,0.68,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,2,1997-98,,,0,11716989,0,Conch,94844,7,1697,1502455,885,9,8,6,990087,65.9,0.09579360198,
26,Talari Rangaiah,Elected,5/23/2019,In office,1,Andhra Pradesh,Anantapur,Yuvajana Sramika Rythu Congress Party,Male,Doctorate,Information Not Available,49,9,0,16,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,-1.72,2.47,1,2019-2020,17-09-2019,2.5,2,2016-17,,,2,11773091,1135547,Ceiling Fan,141428,7,1975,1664160,843,18,14,12,1348114,81.01,0.1049080419,
232,Unmesh Bhaiyyasaheb Patil,Elected,5/23/2019,In office,1,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,41,7,0,41,0.71,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,2019-20,,,1,12324604,2529954,Lotus,411617,6,2013,1931400,959,21,14,12,1092287,56.55,0.3768396035,
304,M. K. Raghavan,Elected,5/23/2019,In office,3,Kerala,Kozhikode,Indian National Congress,Male,Graduate,B.A. History,67,13,0,64,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,2019-20,,,1,12502009,3174805,Hand,85225,7,1159,1318024,1137,19,14,12,1076882,81.7,0.07914051865,
32,Aparupa Poddar (Afrin Ali),Elected,5/23/2019,In office,2,West Bengal,Arambagh,All India Trinamool Congress,Female,Post Graduate,"LLB, MA (English)",34,24,0,4,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,1,12527597,4244000,Flowers and Grass,1142,7,2058,1764726,857,9,9,7,1472462,83.44,0.0007755717974,
250,Topon Kumar Gogoi,Elected,5/23/2019,In office,1,Assam,Jorhat,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,50,3,0,2,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,12597461,455398,Lotus,82653,10,1753,1365035,779,8,8,6,1058820,77.57,0.07806142687,
186,Vijay Kumar,Elected,5/23/2019,In office,1,Bihar,Gaya,Janata Dal (United),Male,12th Pass,Information Not Available,Information not available,5,0,30,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,2,2019-20,,,3,12766141,3148932,Arrow,152426,6,1772,1704596,962,14,13,11,957654,56.18,0.1591660454,
431,Vijay Kumar Hansdak,Elected,5/23/2019,In office,2,Jharkhand,Rajmahal,Jharkhand Mukti Morcha,Male,10th Pass,Matric,38,3,0,0,0.42,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,21-01-2020,2.5,1,,,,0,12919555,2743560,Bow & Arrow,99195,6,2020,1454436,720,16,14,12,1047853,72.05,0.09466499595,
314,Sudarshan Bhagat,Elected,5/23/2019,In office,3,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",50,7,0,10,0.77,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,1,,,,0,12947303,525000,Lotus,10363,5,1747,1234286,707,17,14,12,818367,66.3,0.01266302282,
341,Suresh Kodikunnil,Elected,5/23/2019,In office,7,Kerala,Mavelikkara,Indian National Congress,Male,Post Graduate,"B.A., LL.B.; Educated at Government Law College, Trivandrum (Kerala) ",57,40,1,80,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,2,,,,1,12965129,982819,Hand,61138,7,1280,1308102,1022,12,10,8,972360,74.33,0.06287588959,
293,Naba Kumar Sarania (Hira),Elected,5/23/2019,In office,2,Assam,Kokrajhar,Independent,Male,12th Pass,Higher Secondary,50,10,0,49,0.83,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,5,2.87,2.87,2,2019-2020,17-03-2020,2.5,1,,,,5,13013994,175069,Battery Torch,37786,10,2347,1776358,757,12,9,6,1479744,83.3,0.02553549803,
287,Chauhan Devusinh Jesingbhai,Elected,5/23/2019,In office,2,Gujarat,Kheda,Bharatiya Janata Party,Male,Others,Information not available,55,9,0,45,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,1,,,,0,13023202,995240,Lotus,367145,7,2111,1804028,855,12,7,5,1101173,61.04,0.3334126427,
218,Prasun Banerjee,Elected,5/23/2019,In office,3,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,B.Sc.,64,9,0,42,0.85,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,2,,,,1,13216066,0,Flowers and Grass,103695,7,1868,1633925,875,21,19,17,1222708,74.83,0.08480765645,
453,Shafiqur Rahman Barq,Elected,5/23/2019,In office,5,Uttar Pradesh,Sambhal,Samajwadi Party,Male,Graduate,"B.A.; Educated at Agra University, Agra, Uttar Pradesh",89,4,0,0,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,1,,,,0,13296671,0,Bicycle,174826,5,1943,1828764,941,15,12,10,1183788,64.73,0.1476835379,
277,Dulal Chandra Goswami,Elected,5/23/2019,In office,1,Bihar,Katihar,Janata Dal (United),Male,Graduate,Information Not Available,Information not available,10,0,15,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,,,,,1,13302734,3130766,Arrow,57203,6,1667,1653353,992,17,9,7,1118289,67.64,0.05115225134,
342,S. Ramalingam,Elected,5/23/2019,In office,1,Tamil Nadu,Mayiladuthurai,Dravida Munnetra Kazhagam,Male,Graduate,Information Not Available,76,3,0,18,0.85,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,2,1997-98,,,0,13355095,215000,Rising Sun,261314,6,1738,1484842,854,39,27,25,1097780,73.93,0.238038587,
220,Dean Kuriakose,Elected,5/23/2019,In office,1,Kerala,Idukki,Indian National Congress,Male,Post Graduate,Information Not Available,38,20,0,55,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,18-12-2019,2.5,2,,,,204,13395011,10000000,Hand,171053,7,1305,1204191,923,9,8,6,919559,76.36,0.1860163404,
191,Chandra Prakash Choudhary,Elected,5/23/2019,In office,1,Jharkhand,Giridih,AJSU Party,Male,Graduate,"B.Com, Educated at Ramgarh Mahavidyalaya, Ramgarh, Jharkhand",52,5,0,22,0.68,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,1,,,,2,13456889,1330000,Banana,248347,6,2161,1649413,763,26,15,13,1107156,67.12,0.2243107566,
346,Rajendra Agrawal,Elected,5/23/2019,In office,3,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",70,38,0,58,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,,,,3,13489377,1990094,Lotus,4729,5,2007,1892931,943,15,11,9,1216940,64.29,0.003885976301,
105,Arun Sao,Elected,5/23/2019,In office,1,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,51,8,0,36,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,,,0,13544588,50000,Lotus,141763,8,2221,1876953,845,27,25,23,1210261,64.48,0.117134238,
394,Lorho S. Pfoze,Elected,5/23/2019,In office,1,Manipur,Outer Manipur,Nagaland People's Front,Male,Graduate Professional,"M.B.B.S. Educated at Regional Medical College (Regional Institute of Medical Sciences), Imphal, Manipur",60,2,0,6,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,4.5,0,6,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,,,0,13709352,0,Cock,73782,28,1562,1022099,654,8,8,5,859995,84.14,0.08579352206,
258,Gourav Gogoi,Elected,5/23/2019,In office,2,Assam,Kaliabor,Indian National Congress,Male,Post Graduate,Post Graduate,37,23,0,39,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,13727834,1250000,Hand,209994,10,2174,1734938,798,7,7,5,1424795,82.12,0.1473854133,
157,Abhishek Banerjee,Elected,5/23/2019,In office,2,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Graduate,Post Graduate,32,2,0,1,0.17,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",0,13794320,0,Flowers and Grass,320594,7,1912,1719190,899,11,10,8,1409373,81.98,0.227472784,
438,Sanjay Seth,Elected,5/23/2019,In office,1,Jharkhand,Ranchi,Bharatiya Janata Party,Male,Graduate Professional,Information not available,60,14,0,34,0.74,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,-0.25,1.72,1,2019-2020,29-08-2019,2.5,1,,,,0,14044267,100000,Lotus,282780,6,2376,1915959,806,35,20,18,1235614,64.49,0.2288578796,
310,Pradan Baruah,Elected,5/23/2019,In office,2,Assam,Lakhimpur,Bharatiya Janata Party,Male,12th Pass,"Diploma in Mech. Engg. In 1985 from Dibrugarh Politechnic, Assam, Passed H.S.L.C. from SEBA in 1980 from Silapathar R.H.S. School",54,0,0,4,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,0,14307978,5839285,Lotus,350551,9,2110,1708013,809,12,11,9,1283950,75.17,0.2730254293,
499,Pallab Lochan Das,Elected,5/23/2019,In office,1,Assam,Tezpur,Bharatiya Janata Party,Male,Graduate,Information Not Available,41,9,0,16,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,2,1997-98,,,0,14445139,0,Lotus,242841,9,1880,1499639,798,10,7,5,1191885,79.48,0.2037453278,
